Cislo Obce,Nazev Obce,Pocet Volicu,Pocet Obalek,Pocet Validnich Obalek,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
548618,Kraborovice,83,62,62,25,0,0,0,3,2,0,8,1,0,0,0,1,0,3,0,0,0,1,0,6,12,0,0
568929,Krásná Hora,420,237,237,104,0,1,2,19,8,0,21,1,1,0,0,0,0,15,1,4,3,14,9,22,12,0,0
568937,Krátká Ves,118,82,82,24,0,0,0,4,5,0,8,0,0,1,0,0,0,0,0,2,0,7,0,26,5,0,0
568945,Krucemburk,1 270,820,813,253,0,1,1,62,108,0,63,8,4,0,0,1,1,53,3,13,14,78,33,56,59,0,2
548570,Kunemil,99,65,64,26,0,0,1,4,6,0,0,0,4,0,0,0,0,6,1,8,0,1,1,0,6,0,0
568953,Květinov,177,129,128,38,0,0,0,16,4,0,12,0,0,1,2,0,0,7,1,1,2,11,10,11,12,0,0
548308,Kyjov,117,82,82,36,0,0,0,8,4,0,1,0,0,0,0,0,0,3,0,3,0,3,1,14,9,0,0
568970,Kynice,68,47,47,22,0,0,0,3,7,0,1,0,0,1,0,0,0,0,0,0,0,11,0,1,1,0,0
548481,Lány,45,35,35,5,0,0,0,3,4,0,5,0,0,0,0,0,0,3,0,1,0,6,0,4,4,0,0
568988,Ledeč nad Sázavou,4 295,2 543,2 530,869,3,0,0,245,175,1,231,22,22,4,3,2,1,118,10,41,39,181,109,226,228,0,0
568996,Leškovice,63,48,48,12,0,0,0,1,9,0,3,0,0,0,0,0,0,3,0,2,1,0,0,8,8,0,1
569011,Leština u Světlé,481,306,300,102,0,0,1,67,8,0,24,3,3,0,0,0,1,16,0,4,5,14,8,22,22,0,0
569020,Libice nad Doubravou,719,530,528,159,0,0,0,48,21,0,42,0,1,0,0,0,2,97,1,1,4,37,17,57,41,0,0
569038,Lípa,888,607,605,209,0,1,1,49,51,1,70,4,6,0,3,3,2,13,2,3,5,41,19,60,62,0,0
569046,Lipnice nad Sázavou,545,344,344,105,0,0,1,37,7,0,52,4,2,0,1,0,0,12,3,2,4,35,22,34,23,0,0
569062,Lučice,499,311,311,88,0,0,0,20,29,3,48,1,3,0,0,0,0,18,1,0,4,33,12,16,35,0,0
569071,Malčín,171,126,126,56,0,0,0,12,9,1,9,2,1,0,0,0,0,6,0,2,0,5,3,9,11,0,0
569089,Maleč,562,360,358,112,0,1,1,46,18,0,27,2,5,0,0,2,0,15,1,3,3,30,8,28,56,0,0
548316,Michalovice,144,104,104,29,0,0,0,5,11,0,13,2,2,0,0,0,0,6,0,2,3,4,5,12,10,0,0
569127,Modlíkov,143,101,101,32,0,0,0,8,4,0,24,0,0,0,0,0,0,3,0,2,5,11,0,5,7,0,0
548197,Nejepín,56,40,40,11,0,0,0,8,5,0,2,0,0,0,0,0,0,1,0,0,0,6,0,4,3,0,0
569160,Nová Ves u Chotěboře,447,308,306,97,0,0,0,38,13,0,9,0,4,0,0,3,0,13,0,3,5,47,6,35,30,0,3
569151,Nová Ves u Leštiny,94,71,71,40,0,0,0,10,4,0,1,0,1,0,0,0,0,5,0,0,0,6,2,1,1,0,0
555266,Nová Ves u Světlé,424,284,284,79,0,0,1,26,21,1,45,0,5,0,0,1,1,13,1,3,2,28,3,39,14,0,1
569186,Okrouhlice,1 076,760,756,224,1,0,1,55,47,0,76,9,6,0,1,1,1,93,0,12,9,60,18,80,59,1,2
548588,Okrouhlička,183,131,131,36,0,0,1,12,7,0,22,1,2,0,0,0,0,7,0,2,0,9,3,18,11,0,0
569208,Olešenka,144,82,81,15,0,0,0,5,17,1,8,0,1,1,0,0,1,1,0,0,0,5,7,13,6,0,0
569216,Olešná,266,160,160,61,0,0,0,7,20,0,12,2,1,1,0,1,1,13,1,3,2,9,5,8,12,0,1
548359,Ostrov,123,85,85,22,0,0,0,9,19,0,6,1,1,0,0,0,0,5,0,1,2,9,3,5,2,0,0
569224,Oudoleň,293,215,211,61,0,0,0,22,31,0,23,2,1,0,2,0,1,9,1,1,3,19,6,20,9,0,0
569232,Ovesná Lhota,138,89,89,30,0,0,0,12,1,0,8,0,0,0,0,1,0,0,0,1,0,19,0,6,11,0,0
569241,Pavlov,110,74,73,25,0,0,0,10,10,0,3,0,1,0,0,0,0,4,0,1,0,5,4,7,3,0,0
548634,Podmoklany,113,84,84,29,0,0,0,14,11,0,3,0,2,0,0,0,0,4,0,1,1,11,0,1,7,0,0
548251,Podmoky,102,82,82,33,0,0,0,12,2,0,6,0,0,0,0,1,0,5,0,0,1,8,1,8,5,0,0
569291,Pohled,615,385,384,129,0,0,0,33,23,1,45,7,6,0,0,2,0,15,2,4,8,24,7,45,32,0,1
573591,Pohleď,64,44,43,14,0,0,0,6,4,0,3,1,0,0,0,1,0,0,0,0,0,3,6,2,3,0,0
569313,Prosíčka,108,65,63,13,0,0,0,7,10,0,5,0,0,3,0,1,0,2,0,1,0,5,5,9,2,0,0
569321,Přibyslav,3 174,1 997,1 983,470,1,0,2,129,274,4,307,6,22,3,1,1,4,63,7,26,31,148,75,210,197,1,1
569348,Příseka,334,204,204,64,1,0,2,21,12,0,14,2,2,2,0,0,0,9,0,5,3,8,8,31,19,0,1
569364,Radostín,120,87,87,19,0,0,0,6,1,0,18,0,0,1,0,0,0,9,0,0,1,12,5,9,6,0,0
569399,Rozsochatec,416,310,310,103,2,0,0,24,34,2,22,1,3,0,0,1,0,13,0,3,2,24,4,35,37,0,0
569402,Rušinov,154,130,129,51,0,0,0,28,2,0,4,0,2,0,0,0,0,0,1,0,1,10,2,12,16,0,0
569411,Rybníček,59,37,37,16,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,1,0,3,0,2,8,0,0
569429,Sázavka,263,188,188,61,0,0,1,16,19,0,15,0,1,0,0,0,0,12,1,3,0,16,4,19,20,0,0
548421,Sedletín,235,176,176,67,0,0,2,8,41,0,4,0,1,0,0,2,2,7,0,0,1,10,0,18,13,0,0
548324,Skorkov,67,58,58,7,0,0,10,13,7,0,1,1,0,0,0,0,0,3,0,0,0,8,2,3,3,0,0
569461,Skryje,154,93,93,20,0,0,0,22,3,0,10,0,0,0,0,0,0,3,0,0,0,12,3,10,10,0,0
569470,Skuhrov,221,149,147,60,0,0,0,3,19,0,19,1,1,0,0,0,2,8,0,0,1,7,7,13,6,0,0
548553,Slavětín,71,60,58,12,0,0,1,12,6,0,5,0,2,0,0,0,0,3,0,1,0,3,3,5,5,0,0
569488,Slavíkov,254,184,184,50,0,0,0,19,18,0,6,2,3,0,0,1,1,13,3,2,0,25,4,13,22,1,1
548341,Slavníč,47,32,32,6,0,0,0,2,1,0,5,0,0,0,0,0,0,1,0,0,0,10,0,4,3,0,0
548499,Sloupno,33,25,25,16,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0
573604,Služátky,130,90,90,22,0,0,0,14,11,0,11,0,0,0,0,0,1,0,0,0,0,8,1,16,6,0,0
569518,Sobíňov,564,391,390,112,0,0,1,56,26,0,36,0,4,2,0,1,0,28,0,3,10,25,17,33,36,0,0
569534,Stříbrné Hory,193,120,120,34,0,0,0,14,10,0,14,1,1,0,0,0,1,5,0,0,2,11,6,10,11,0,0
569569,Světlá nad Sázavou,5 874,3 570,3 555,1 216,1,4,5,377,195,11,310,20,47,1,2,8,7,143,9,38,36,346,117,381,278,2,1
569585,Šlapanov,656,359,355,112,0,0,1,45,20,0,38,2,3,0,0,3,0,19,0,5,7,30,10,43,17,0,0
569593,Štoky,1 473,987,984,320,2,0,0,115,38,1,88,3,17,1,2,3,3,41,2,11,19,112,31,106,66,0,3
569615,Tis,301,152,151,71,0,1,0,6,11,0,15,0,2,0,0,3,1,6,0,1,3,9,5,7,10,0,0
569623,Trpišovice,125,67,67,26,0,0,2,4,4,0,4,0,0,0,0,1,0,2,0,0,0,7,2,8,7,0,0
569640,Uhelná Příbram,430,298,297,126,1,0,0,28,19,1,22,0,2,0,1,0,0,18,0,3,4,16,5,25,23,0,3
548537,Úhořilka,38,30,30,4,0,0,0,2,2,0,6,0,1,0,0,0,0,1,0,1,2,0,2,4,5,0,0
569658,Úsobí,581,382,381,112,0,0,6,42,36,2,38,0,4,1,0,2,0,10,0,5,5,33,20,36,26,0,3
569674,Vepříkov,287,198,198,51,0,0,0,21,19,0,8,0,0,0,0,0,0,50,0,1,0,14,5,21,8,0,0
569682,Veselý Žďár,449,308,307,97,0,0,2,30,16,0,40,0,5,0,0,0,0,21,1,2,4,28,8,27,26,0,0
569691,Věž,689,470,469,140,0,1,0,49,33,0,47,1,8,0,0,1,0,15,3,7,8,39,18,46,52,1,0
569704,Věžnice,337,220,216,32,0,0,0,27,68,0,23,1,1,0,0,0,0,15,0,1,5,20,3,8,12,0,0
569712,Vilémov,815,510,509,212,1,0,0,46,46,3,39,2,4,0,0,0,3,31,0,6,5,38,22,29,22,0,0
569721,Vilémovice,190,151,151,57,0,0,0,18,8,0,18,0,1,0,0,0,0,7,0,3,2,11,2,12,12,0,0
573582,Víska,150,108,108,35,0,0,0,11,13,0,7,0,1,0,0,0,1,9,0,1,1,6,3,10,10,0,0
569739,Vlkanov,41,28,28,7,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,1,5,2,2,5,0,0
530654,Vysoká,174,128,128,41,0,0,0,15,7,0,9,1,5,0,0,1,0,1,0,1,7,11,3,22,4,0,0
548626,Zvěstovice,55,41,41,20,0,0,0,4,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,5,5,0,0
530662,Ždírec,120,74,74,20,0,0,0,2,11,0,15,0,3,0,0,0,0,1,0,0,1,7,2,11,1,0,0
569780,Ždírec nad Doubravou,2 448,1 600,1 594,517,1,0,3,160,76,0,182,8,18,4,0,2,3,166,8,11,22,154,39,110,108,0,2
569801,Žižkovo Pole,303,212,210,60,0,0,0,13,37,1,24,0,0,1,0,2,0,4,1,1,1,15,3,25,22,0,0
